Entity_1	Entity_2	Predicted_class
a17380207.s7.uT1.e1	a17380207.s7.uT6.e2	NO_RELATION
a17643344.s3.uT4.e1	a17643344.s3.uT14.e2	NO_RELATION
a23534442.s0.uT17.e1	a23534442.s0.uT23.e2	INHIBITOR
a23534442.s4.uT11.e1	a23534442.s4.uT20.e3	INHIBITOR
a23534442.s4.uT12.e2	a23534442.s4.uT20.e3	INHIBITOR
a23534442.s7.uT14.e1	a23534442.s7.uT18.e4	NO_RELATION
a23534442.s7.uT15.e2	a23534442.s7.uT18.e4	NO_RELATION
a23534442.s7.uT1.e3	a23534442.s7.uT18.e4	NO_RELATION
a23534442.s2.uT3.e1	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT4.e2	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT5.e3	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT6.e4	a23534442.s2.uT19.e6	NO_RELATION
a23534442.s2.uT7.e5	a23534442.s2.uT19.e6	NO_RELATION
a16618126.s13.uT22.e1	a16618126.s13.uT45.e2	SUBSTRATE
a16618126.s12.uT19.e1	a16618126.s12.uT44.e4	NO_RELATION
a16618126.s12.uT20.e2	a16618126.s12.uT44.e4	NO_RELATION
a16618126.s12.uT21.e3	a16618126.s12.uT44.e4	NO_RELATION
a20091113.s2.uT2.e1	a20091113.s2.uT7.e3	NO_RELATION
a20091113.s2.uT2.e1	a20091113.s2.uT8.e4	NO_RELATION
a11161433.s3.uT2.e1	a11161433.s3.uT9.e2	NO_RELATION
a11161433.s3.uT2.e1	a11161433.s3.uT10.e4	NO_RELATION
a11161433.s4.uT4.e1	a11161433.s4.uT11.e2	INHIBITOR
a11161433.s4.uT4.e1	a11161433.s4.uT13.e4	NO_RELATION
a11161433.s4.uT5.e3	a11161433.s4.uT13.e4	NO_RELATION
a11588409.s4.uT10.e2	a11588409.s4.uT24.e3	INDIRECT-UPREGULATOR
a11588409.s0.uT16.e1	a11588409.s0.uT26.e3	NO_RELATION
a11588409.s0.uT15.e2	a11588409.s0.uT26.e3	NO_RELATION
a11588409.s3.uT9.e1	a11588409.s3.uT20.e2	NO_RELATION
a11588409.s3.uT9.e1	a11588409.s3.uT21.e3	NO_RELATION
a11588409.s1.uT12.e1	a11588409.s1.uT17.e4	NO_RELATION
a11588409.s1.uT12.e1	a11588409.s1.uT18.e5	NO_RELATION
a11588409.s1.uT2.e2	a11588409.s1.uT17.e4	NO_RELATION
a11588409.s1.uT2.e2	a11588409.s1.uT18.e5	NO_RELATION
a15932636.s11.uT5.e1	a15932636.s11.uT26.e2	NO_RELATION
a15932636.s0.uT23.e1	a15932636.s0.uT38.e2	NO_RELATION
a15932636.s0.uT23.e1	a15932636.s0.uT37.e4	NO_RELATION
a15932636.s3.uT12.e1	a15932636.s3.uT31.e2	NO_RELATION
a15932636.s3.uT12.e1	a15932636.s3.uT32.e3	NO_RELATION
a15932636.s13.uT8.e1	a15932636.s13.uT28.e2	NO_RELATION
a15932636.s13.uT8.e1	a15932636.s13.uT29.e3	NO_RELATION
a15932636.s6.uT18.e1	a15932636.s6.uT33.e4	NO_RELATION
a15932636.s6.uT19.e2	a15932636.s6.uT33.e4	NO_RELATION
a15932636.s6.uT20.e3	a15932636.s6.uT33.e4	NO_RELATION
a15932636.s7.uT21.e1	a15932636.s7.uT34.e2	NO_RELATION
a15932636.s7.uT21.e1	a15932636.s7.uT35.e4	NO_RELATION
a15932636.s7.uT21.e1	a15932636.s7.uT36.e5	NO_RELATION
a15932636.s10.uT2.e1	a15932636.s10.uT25.e4	NO_RELATION
a15932636.s10.uT3.e2	a15932636.s10.uT25.e4	NO_RELATION
a15932636.s10.uT4.e3	a15932636.s10.uT25.e4	NO_RELATION
a20104269.s5.uT8.e1	a20104269.s5.uT26.e2	INDIRECT-UPREGULATOR
a20104269.s5.uT8.e1	a20104269.s5.uT27.e3	INDIRECT-UPREGULATOR
a20104269.s3.uT3.e4	a20104269.s3.uT22.e6	NO_RELATION
a20104269.s3.uT3.e4	a20104269.s3.uT23.e7	NO_RELATION
a20104269.s3.uT4.e5	a20104269.s3.uT22.e6	NO_RELATION
a20104269.s3.uT4.e5	a20104269.s3.uT23.e7	NO_RELATION
a20104269.s8.uT11.e1	a20104269.s8.uT12.e3	NO_RELATION
a20104269.s8.uT11.e1	a20104269.s8.uT13.e4	NO_RELATION
a20104269.s8.uT1.e2	a20104269.s8.uT12.e3	NO_RELATION
a20104269.s8.uT1.e2	a20104269.s8.uT13.e4	NO_RELATION
a20104269.s4.uT5.e1	a20104269.s4.uT24.e3	AGONIST
a20104269.s4.uT5.e1	a20104269.s4.uT25.e5	NO_RELATION
a20104269.s4.uT6.e2	a20104269.s4.uT24.e3	AGONIST
a20104269.s4.uT6.e2	a20104269.s4.uT25.e5	NO_RELATION
a20104269.s4.uT7.e4	a20104269.s4.uT25.e5	ANTAGONIST
a10606746.s4.uT4.e4	a10606746.s4.uT23.e6	NO_RELATION
a20421509.s0.uT20.e1	a20421509.s0.uT43.e2	INHIBITOR
a20421509.s1.uT10.e3	a20421509.s1.uT25.e4	NO_RELATION
a20421509.s7.uT18.e1	a20421509.s7.uT42.e2	NO_RELATION
a20421509.s10.uT3.e1	a20421509.s10.uT24.e2	NO_RELATION
a20421509.s5.uT13.e2	a20421509.s5.uT40.e4	NO_RELATION
a20421509.s5.uT14.e3	a20421509.s5.uT40.e4	NO_RELATION
a20421509.s6.uT16.e1	a20421509.s6.uT41.e3	NO_RELATION
a20421509.s6.uT17.e2	a20421509.s6.uT41.e3	NO_RELATION
a20421509.s8.uT19.e1	a20421509.s8.uT22.e3	DIRECT-REGULATOR
a20421509.s8.uT1.e2	a20421509.s8.uT22.e3	DIRECT-REGULATOR
a20421509.s13.uT9.e1	a20421509.s13.uT32.e2	NO_RELATION
a20421509.s13.uT9.e1	a20421509.s13.uT33.e3	NO_RELATION
a20421509.s13.uT9.e1	a20421509.s13.uT34.e4	NO_RELATION
a20421509.s4.uT11.e1	a20421509.s4.uT37.e3	INHIBITOR
a20421509.s4.uT11.e1	a20421509.s4.uT38.e4	INHIBITOR
a20421509.s4.uT12.e2	a20421509.s4.uT37.e3	INHIBITOR
a20421509.s4.uT12.e2	a20421509.s4.uT38.e4	INHIBITOR
a20421509.s12.uT7.e1	a20421509.s12.uT27.e2	NO_RELATION
a20421509.s12.uT7.e1	a20421509.s12.uT28.e3	NO_RELATION
a20421509.s12.uT7.e1	a20421509.s12.uT29.e4	NO_RELATION
a20421509.s12.uT7.e1	a20421509.s12.uT30.e6	NO_RELATION
a20421509.s12.uT8.e5	a20421509.s12.uT30.e6	NO_RELATION
a16247743.s5.uT4.e1	a16247743.s5.uT9.e3	INHIBITOR
a16247743.s5.uT5.e2	a16247743.s5.uT9.e3	INHIBITOR
a12679340.s4.uT6.e2	a12679340.s4.uT27.e4	NO_RELATION
a12679340.s4.uT7.e3	a12679340.s4.uT27.e4	NO_RELATION
a23127600.s3.uT7.e3	a23127600.s3.uT14.e5	NO_RELATION
a23127600.s3.uT8.e4	a23127600.s3.uT14.e5	NO_RELATION
a23127600.s6.uT1.e1	a23127600.s6.uT11.e2	ACTIVATOR
a23127600.s6.uT1.e1	a23127600.s6.uT12.e3	ACTIVATOR
a23111283.s0.uT11.e1	a23111283.s0.uT20.e2	NO_RELATION
a23111283.s10.uT2.e1	a23111283.s10.uT12.e2	NO_RELATION
a23111283.s9.uT10.e1	a23111283.s9.uT17.e2	INHIBITOR
a23111283.s9.uT10.e1	a23111283.s9.uT18.e3	INHIBITOR
a23111283.s9.uT10.e1	a23111283.s9.uT19.e4	INHIBITOR
a2569356.s4.uT9.e1	a2569356.s4.uT16.e3	NO_RELATION
a20801130.s0.uT24.e1	a20801130.s0.uT42.e2	NO_RELATION
a20801130.s6.uT21.e1	a20801130.s6.uT40.e2	NO_RELATION
a20801130.s5.uT17.e1	a20801130.s5.uT39.e3	NO_RELATION
a20801130.s5.uT18.e2	a20801130.s5.uT39.e3	DIRECT-REGULATOR
a20801130.s1.uT10.e1	a20801130.s1.uT35.e2	DIRECT-REGULATOR
a20801130.s1.uT10.e1	a20801130.s1.uT36.e3	DIRECT-REGULATOR
a20801130.s1.uT10.e1	a20801130.s1.uT37.e4	DIRECT-REGULATOR
a20801130.s1.uT10.e1	a20801130.s1.uT38.e5	DIRECT-REGULATOR
a12086935.s0.uT18.e1	a12086935.s0.uT30.e3	NO_RELATION
a12086935.s4.uT15.e1	a12086935.s4.uT26.e2	NO_RELATION
a12086935.s7.uT6.e1	a12086935.s7.uT21.e2	NO_RELATION
a12086935.s5.uT16.e1	a12086935.s5.uT27.e2	NO_RELATION
a12086935.s5.uT16.e1	a12086935.s5.uT28.e3	NO_RELATION
a12086935.s5.uT16.e1	a12086935.s5.uT29.e5	INDIRECT-UPREGULATOR
a23240892.s5.uT15.e1	a23240892.s5.uT21.e2	NO_RELATION
a23240892.s5.uT15.e1	a23240892.s5.uT22.e3	NO_RELATION
a23240892.s6.uT4.e1	a23240892.s6.uT18.e2	NO_RELATION
a23240892.s6.uT4.e1	a23240892.s6.uT19.e3	NO_RELATION
a23240892.s6.uT4.e1	a23240892.s6.uT20.e5	NO_RELATION
a15777622.s2.uT9.e1	a15777622.s2.uT29.e2	NO_RELATION
