Entity_1	Entity_2	Predicted_class
a17380207.s1.x0.uT3	a17380207.s1.x0.uT9	INHIBITOR
a17380207.s1.x1.uT5	a17380207.s1.x1.uT9	INHIBITOR
a17380207.s1.x2.uT3	a17380207.s1.x2.uT11	INHIBITOR
a17380207.s1.x3.uT5	a17380207.s1.x3.uT11	NO_RELATION
a17380207.s1.x4.uT4	a17380207.s1.x4.uT11	INHIBITOR
a17643344.s0.x0.uT12	a17643344.s0.x0.uT15	ANTAGONIST
a17643344.s0.x1.uT11	a17643344.s0.x1.uT15	ANTAGONIST
a17643344.s3.x0.uT6	a17643344.s3.x0.uT14	INHIBITOR
a17643344.s3.x1.uT7	a17643344.s3.x1.uT14	INHIBITOR
a17643344.s3.x2.uT4	a17643344.s3.x2.uT14	INHIBITOR
a16494569.s9.x0.uT3	a16494569.s9.x0.uT20	SUBSTRATE
a16494569.s9.x1.uT2	a16494569.s9.x1.uT20	SUBSTRATE
a16494569.s11.x0.uT12	a16494569.s11.x0.uT21	SUBSTRATE
a16494569.s11.x1.uT8	a16494569.s11.x1.uT21	DIRECT-REGULATOR
a16494569.s11.x2.uT10	a16494569.s11.x2.uT21	INHIBITOR
a16494569.s11.x3.uT11	a16494569.s11.x3.uT21	INHIBITOR
a23534442.s0.x0.uT17	a23534442.s0.x0.uT23	INHIBITOR
a23534442.s0.x1.uT16	a23534442.s0.x1.uT23	NO_RELATION
a23534442.s2.x0.uT3	a23534442.s2.x0.uT19	INHIBITOR
a23534442.s2.x1.uT4	a23534442.s2.x1.uT19	INHIBITOR
a23534442.s2.x2.uT5	a23534442.s2.x2.uT19	INHIBITOR
a23534442.s2.x3.uT6	a23534442.s2.x3.uT19	INHIBITOR
a23534442.s2.x4.uT7	a23534442.s2.x4.uT19	INHIBITOR
a23534442.s2.x5.uT8	a23534442.s2.x5.uT19	INHIBITOR
a16618126.s2.x0.uT24	a16618126.s2.x0.uT43	SUBSTRATE
a16618126.s2.x1.uT28	a16618126.s2.x1.uT43	SUBSTRATE
a16618126.s2.x2.uT29	a16618126.s2.x2.uT43	SUBSTRATE
a16618126.s2.x3.uT30	a16618126.s2.x3.uT43	SUBSTRATE
a16618126.s4.x0.uT32	a16618126.s4.x0.uT54	DIRECT-REGULATOR
a16618126.s4.x1.uT32	a16618126.s4.x1.uT53	DIRECT-REGULATOR
a16618126.s5.x0.uT34	a16618126.s5.x0.uT55	DIRECT-REGULATOR
a16618126.s6.x0.uT1	a16618126.s6.x0.uT35	DIRECT-REGULATOR
a16618126.s6.x1.uT2	a16618126.s6.x1.uT35	DIRECT-REGULATOR
a16618126.s6.x2.uT3	a16618126.s6.x2.uT35	DIRECT-REGULATOR
a16618126.s6.x3.uT4	a16618126.s6.x3.uT35	DIRECT-REGULATOR
a16618126.s6.x4.uT5	a16618126.s6.x4.uT35	DIRECT-REGULATOR
a16618126.s6.x5.uT6	a16618126.s6.x5.uT35	INHIBITOR
a16618126.s6.x6.uT7	a16618126.s6.x6.uT35	DIRECT-REGULATOR
a16618126.s8.x0.uT11	a16618126.s8.x0.uT36	INHIBITOR
a16618126.s8.x1.uT10	a16618126.s8.x1.uT36	INHIBITOR
