Entity_1	Entity_2	Predicted_class
a17380207.s1.uT5.e3	a17380207.s1.uT9.e1	SUBSTRATE
a17380207.s1.uT5.e3	a17380207.s1.uT11.e2	SUBSTRATE
a17380207.s1.uT3.e4	a17380207.s1.uT9.e1	ANTAGONIST
a17380207.s1.uT3.e4	a17380207.s1.uT11.e2	ANTAGONIST
a17380207.s7.uT1.e1	a17380207.s7.uT6.e2	INDIRECT-UPREGULATOR
a17380207.s7.uT2.e3	a17380207.s7.uT6.e2	NO_RELATION
a17643344.s0.uT11.e2	a17643344.s0.uT15.e1	ANTAGONIST
a17643344.s0.uT12.e3	a17643344.s0.uT15.e1	INHIBITOR
a17643344.s3.uT4.e1	a17643344.s3.uT14.e2	ANTAGONIST
a17643344.s3.uT6.e3	a17643344.s3.uT14.e2	ANTAGONIST
a17643344.s3.uT7.e4	a17643344.s3.uT14.e2	ANTAGONIST
a16494569.s9.uT2.e2	a16494569.s9.uT20.e1	NO_RELATION
a16494569.s9.uT3.e3	a16494569.s9.uT20.e1	NO_RELATION
a16494569.s11.uT8.e1	a16494569.s11.uT21.e2	DIRECT-REGULATOR
a16494569.s11.uT10.e3	a16494569.s11.uT21.e2	INHIBITOR
a23534442.s0.uT17.e1	a23534442.s0.uT23.e2	INHIBITOR
a23534442.s0.uT16.e3	a23534442.s0.uT23.e2	INHIBITOR
a23534442.s2.uT3.e1	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT4.e2	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT5.e3	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT6.e4	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT7.e5	a23534442.s2.uT19.e6	INHIBITOR
a23534442.s2.uT8.e7	a23534442.s2.uT19.e6	NO_RELATION
a23534442.s4.uT11.e1	a23534442.s4.uT20.e3	ANTAGONIST
a23534442.s4.uT12.e2	a23534442.s4.uT20.e3	NO_RELATION
a23534442.s7.uT14.e1	a23534442.s7.uT18.e4	DIRECT-REGULATOR
a23534442.s7.uT15.e2	a23534442.s7.uT18.e4	DIRECT-REGULATOR
