PRODUCT-OF	chem_names	71	chem_ids	67	gene_names	96	gene_ids	83	
1	INDIRECT-UPREGULATOR	chem_names	4	chem_ids	4	gene_names	6	gene_ids	11
25	SUBSTRATE	chem_names	10	chem_ids	12	gene_names	35	gene_ids	39
41	INHIBITOR	chem_names	3	chem_ids	6	gene_names	22	gene_ids	29
6	ANTAGONIST	chem_names	1	chem_ids	1	gene_names	0	gene_ids	3
16	DIRECT-REGULATOR	chem_names	3	chem_ids	6	gene_names	3	gene_ids	9
2	ACTIVATOR	chem_names	3	chem_ids	4	gene_names	4	gene_ids	12

ACTIVATOR	chem_names	138	chem_ids	122	gene_names	132	gene_ids	113	
12	DIRECT-REGULATOR	chem_names	14	chem_ids	19	gene_names	14	gene_ids	32
32	INHIBITOR	chem_names	25	chem_ids	26	gene_names	42	gene_ids	63
3	ANTAGONIST	chem_names	4	chem_ids	4	gene_names	5	gene_ids	12
4	AGONIST	chem_names	13	chem_ids	13	gene_names	7	gene_ids	13

INDIRECT-DOWNREGULATOR	chem_names	137	chem_ids	120	gene_names	164	gene_ids	120	
14	INDIRECT-UPREGULATOR	chem_names	34	chem_ids	35	gene_names	47	gene_ids	51
54	INHIBITOR	chem_names	41	chem_ids	42	gene_names	39	gene_ids	49
16	DIRECT-REGULATOR	chem_names	7	chem_ids	11	gene_names	8	gene_ids	22
6	ANTAGONIST	chem_names	4	chem_ids	5	gene_names	2	gene_ids	9
1	ACTIVATOR	chem_names	19	chem_ids	20	gene_names	13	gene_ids	30
2	AGONIST	chem_names	12	chem_ids	14	gene_names	1	gene_ids	8
1	SUBSTRATE	chem_names	5	chem_ids	4	gene_names	5	gene_ids	18

INDIRECT-UPREGULATOR	chem_names	132	chem_ids	123	gene_names	186	gene_ids	155	
44	INHIBITOR	chem_names	21	chem_ids	27	gene_names	18	gene_ids	43
33	INDIRECT-DOWNREGULATOR	chem_names	34	chem_ids	35	gene_names	47	gene_ids	51
11	DIRECT-REGULATOR	chem_names	7	chem_ids	11	gene_names	8	gene_ids	22
11	ACTIVATOR	chem_names	26	chem_ids	27	gene_names	17	gene_ids	30
2	ANTAGONIST	chem_names	4	chem_ids	8	gene_names	2	gene_ids	12
5	SUBSTRATE	chem_names	9	chem_ids	9	gene_names	10	gene_ids	25

PART-OF	chem_names	67	chem_ids	56	gene_names	136	gene_ids	112	
84	DIRECT-REGULATOR	chem_names	7	chem_ids	7	gene_names	17	gene_ids	26
25	INHIBITOR	chem_names	1	chem_ids	2	gene_names	14	gene_ids	35
5	ANTAGONIST	chem_names	0	chem_ids	1	gene_names	3	gene_ids	13

AGONIST	chem_names	81	chem_ids	74	gene_names	65	gene_ids	49	
16	ANTAGONIST	chem_names	8	chem_ids	9	gene_names	28	gene_ids	23
18	DIRECT-REGULATOR	chem_names	7	chem_ids	10	gene_names	8	gene_ids	19
1	INHIBITOR	chem_names	4	chem_ids	4	gene_names	3	gene_ids	17

